"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KOTAKBANK","EQ","10-Jan-2017","        709.25","        711.10","        715.70","        710.00","        712.45","        712.65","        712.68","     867005","           617901322.75","      26496","     610288","         70.39"
"KOTAKBANK","EQ","11-Jan-2017","        712.65","        715.00","        733.80","        708.00","        727.65","        728.40","        720.57","    3577518","          2577848086.25","      84154","    2123808","         59.37"
"KOTAKBANK","EQ","12-Jan-2017","        728.40","        732.45","        732.45","        723.05","        727.25","        727.95","        728.51","    1106785","           806301013.35","      19428","     627971","         56.74"
"KOTAKBANK","EQ","13-Jan-2017","        727.95","        731.50","        735.60","        724.40","        725.75","        727.75","        729.70","    1006051","           734114521.75","      19967","     614569","         61.09"
"KOTAKBANK","EQ","16-Jan-2017","        727.75","        726.10","        736.20","        723.00","        731.50","        731.20","        729.88","     741938","           541527195.30","      16553","     380896","         51.34"
"KOTAKBANK","EQ","17-Jan-2017","        731.20","        732.80","        735.00","        724.30","        724.70","        726.00","        728.25","     681333","           496183318.90","      22827","     376385","         55.24"
"KOTAKBANK","EQ","18-Jan-2017","        726.00","        725.10","        741.75","        725.10","        731.80","        731.10","        734.34","    1125851","           826755823.80","      30831","     545533","         48.46"
"KOTAKBANK","EQ","19-Jan-2017","        731.10","        731.00","        737.00","        727.00","        729.95","        728.20","        731.27","     915362","           669376057.65","      28166","     586703","         64.10"
"KOTAKBANK","EQ","20-Jan-2017","        728.20","        732.75","        733.15","        718.00","        725.00","        723.05","        725.23","    1115048","           808664816.25","      37264","     537085","         48.17"
"KOTAKBANK","EQ","23-Jan-2017","        723.05","        722.50","        739.90","        722.00","        735.80","        732.75","        731.25","    1457199","          1065575656.15","      40955","     915441","         62.82"
"KOTAKBANK","EQ","24-Jan-2017","        732.75","        737.50","        745.00","        734.10","        744.90","        743.35","        740.64","    1206679","           893711742.00","      17448","     744862","         61.73"
